No,Method,Path,Purpose - FE dung de lam gi,Request schema,Response schema,BE Current,Status,Action,Tier
1,GET,/master/work-centers,Hien thi danh sach work center + equipment tren view Master > Work Centers (work-center-list-view.vue). Cung cap wcCode/capacity cho scheduler + LoadCell.minutesCapacity + bang tra ten process.,none,"WorkCenter[] = {code, nameKo, defaultRuntimeMin, totalRuntimeMin, equipments: [{code, wcCode, nameKo, stRate}]}",None,Missing,Add - read aps_workcenter + join aps_equipment. Compute totalRuntimeMin = std_capa x count(equipment). Bo field nameVi.,1
2,GET,/master/items,Hien thi danh sach item tren view Master > Items (item-list-view.vue). Cung cap itemCode/name cho MPS/WorkPlan/BOM/Inventory. Field uom hien thi don vi tinh.,none,"Item[] = {code, nameKo, uom}",None,Missing,Add - read aps_item. Can migration them cot uom.,1
3,GET,/master/routings,Cung cap routing (item -> workcenter -> process) cho scheduler tinh minutesLoaded (planQty x standardStMin) va lay processNameKo hien thi tren WorkPlan/Gantt.,none,"Routing[] = {id, itemCode, stepNo, wcCode, processNameKo, standardStMin}",None,Missing,Add - read aps_item_routing_spec + join item + workcenter. Field work_time = standardStMin.,1
4,GET,/master/bom,Hien thi cay BOM tren view Master > BOM (bom-view.vue). Scheduler dung de detect material shortage - duyet component + qtyPer x planQty tru vao inventory.,none,"BomComponent[] = {id, parentItemCode, childItemCode, qtyPer, scrapRate}",None,Missing,Add - read aps_bom. Can migration them cot scrap_rate. Chon qty1 hoac qty2 cho qtyPer.,1
5,GET,/master/inventory,Hien thi ton kho tren view Master > Inventory (inventory-view.vue). Scheduler dung onHand lam base cho material shortage detection.,none,"InventoryRow[] = {id, itemCode, warehouseCode, onHand, asOfDate}",None,Missing,Add - read aps_stock + join item. Convert stk_ym YYYYMM to asOfDate YYYY-MM-DD (append -01).,1
6,GET,/planning/mps,Hien thi danh sach MPS tren view MPS > List (mps-list-view.vue). Nguon input cho scheduler khi khong co work_order (sourceType=FROM_MPS).,none,"Mps[] = {id, orderNo, itemCode, planQty, endDate, workStartDate, workEndDate, status}",None,Missing,Add - read aps_mps_plan. Map status_cd -> DRAFT/CONFIRMED/CANCELLED. Chon endDate = delivery_date hay plan_end_date (business confirm).,1
7,GET,/planning/work-orders,Nguon input cho scheduler khi da co WO (sourceType=FROM_WORK_ORDER). Chua co UI list rieng - dung ngam qua /aps/run.,none,"WorkOrder[] = {id, woNo, mpsId, itemCode, wcCode, planQty, planStartDate, planEndDate, status}",None,Missing,Add - read work_order + join item + workcenter + mps_plan. Map status PLANNED/SENT/CONFIRMED/FAILED -> PENDING/DONE. planStart/End derive tu min/max daily_plan.work_date.,1
8,POST,/aps/run,Trai tim MVP - nut RUN APS tren view APS > Work Plan (aps-work-plan-view.vue + filter-bar.vue). Chay backward-fill scheduler + material shortage + load classification + KPI. Tra ve full result de FE render bang WorkPlan + Gantt LoadCell + KPI cards.,none (empty body),"ApsRunResult = {run: {id, startedAt, finishedAt}, workPlans: WorkPlan[], loadCells: LoadCell[], kpi: {onTimeRatePct, materialShortageCount, overloadWcPct, planningRiskCount}} where WorkPlan = {id, runId, sourceType, workOrderNo, tmpPlanNo, orderNo, itemCode, itemNameKo, wcCode, processNameKo, planQty, planStartDate, planEndDate, deliveryDate, riskType, shortageQty, adjusted, originalStart, originalEnd, dailyPlans: [{date, qty, minutes}]} and LoadCell = {wcCode, cellDate, minutesLoaded, minutesCapacity, status}",POST /kpi-summary/daily-plan/rebuild (wrong shape),Misaligned,Add new /aps/run - rebuild daily_plan + material_shortage in cung transaction. runId = uuid4 ephemeral. Assemble workPlans nested dailyPlans[] group theo (mps_plan_id item_routing_id). LoadCells compute minutesLoaded = sum(planned_qty x work_time). Status 5 gia tri map o service.,2
9,POST,/aps/adjust,Nut APPLY ADJUSTMENTS tren view APS > Work Plan (filter-bar.vue). User drag/drop WorkPlan doi ngay -> recalc backward-fill + load + risk cho plan bi anh huong (co the cascade sang plan khac cung load cell) + tra full ApsRunResult moi.,"{runId: string, adjustments: [{planId: string, newStart: date, newEnd: date}]}",Same ApsRunResult as /aps/run. adjusted=true va originalStart/originalEnd giu gia tri cu.,None,Missing,Add - port thuat toan tu mock-scheduler.ts. Transactional. Can 3 cot audit tren aps_daily_plan (adjusted original_work_date original_planned_qty).,3
10,POST,/erp/purchase-requests,Nut CREATE PURCHASE REQUEST tren detail-panel.vue khi user click vao WorkPlan bi material shortage. Ghi PR vao DB (status PENDING) de background job push sang G-System sau. FE chi show toast success khong hien thi outbox list.,"{planId: string, qty: number, note: string}","ErpOutboxRow = {id, runId, action: CREATE_PURCHASE_REQUEST, payload: {planId, qty, note}, status: PENDING, createdAt, pushedAt: null, error: null}",GET /purchase-requests only,Missing POST,Add POST - insert vao purchase_request co san. Reuse cot sync_status/sent_at/response_json. Map APPLIED -> PENDING.,2
11,POST,/erp/work-orders,Nut DISPATCH WORK ORDER tren detail-panel.vue. Chuyen 1 WorkPlan (thuong FROM_MPS) thanh work_order thuc gui G-System. FE chi show toast.,{planId: string},"ErpOutboxRow = {id, runId, action: CREATE_WORK_ORDER, payload: {planId}, status: PENDING, createdAt, pushedAt: null, error: null}",None,Missing,Add POST - insert vao work_order co san. Reuse cot sync_status/payload_json/sent_at.,2
12,GET,/erp/outbox,FE co ham listOutbox() trong mock-server nhung KHONG component nao goi (grep xac nhan 0 usage). Chi de mock-server manage state noi bo.,none,ErpOutboxRow[] union tu purchase_request + work_order,None,Missing,Defer hoac union query. FE chua can - co the bo qua Tier 3.,3
